file,llm,strategy,raw_ptr_list,has_unsafe,arc_from_raw,inner_lock,lock_on_unlink,verdict,notes
Samples/chatgpt/chainThought_Gp/cveCHAIN_1.rs,chatgpt,chainThought,yes,yes,yes,,,,
Samples/chatgpt/chainThought_Gp/cveCHAIN_10.rs,chatgpt,chainThought,yes,yes,no,,,,
Samples/chatgpt/chainThought_Gp/cveCHAIN_2.rs,chatgpt,chainThought,no,no,no,,,,
Samples/chatgpt/chainThought_Gp/cveCHAIN_3.rs,chatgpt,chainThought,yes,yes,no,,,,
Samples/chatgpt/chainThought_Gp/cveCHAIN_4.rs,chatgpt,chainThought,yes,yes,no,,,,
Samples/chatgpt/chainThought_Gp/cveCHAIN_5.rs,chatgpt,chainThought,no,no,no,,,,
Samples/chatgpt/chainThought_Gp/cveCHAIN_6.rs,chatgpt,chainThought,yes,no,no,,,,
Samples/chatgpt/chainThought_Gp/cveCHAIN_7.rs,chatgpt,chainThought,no,no,no,,,,
Samples/chatgpt/chainThought_Gp/cveCHAIN_8.rs,chatgpt,chainThought,no,no,no,,,,
Samples/chatgpt/chainThought_Gp/cveCHAIN_9.rs,chatgpt,chainThought,yes,yes,yes,,,,
Samples/chatgpt/constraintBased_Gp/cveCONSTR_1.rs,chatgpt,constraintBased,yes,yes,yes,,,,
Samples/chatgpt/constraintBased_Gp/cveCONSTR_10.rs,chatgpt,constraintBased,yes,yes,yes,,,,
Samples/chatgpt/constraintBased_Gp/cveCONSTR_2.rs,chatgpt,constraintBased,yes,yes,yes,,,,
Samples/chatgpt/constraintBased_Gp/cveCONSTR_3.rs,chatgpt,constraintBased,yes,yes,no,,,,
Samples/chatgpt/constraintBased_Gp/cveCONSTR_4.rs,chatgpt,constraintBased,yes,yes,no,,,,
Samples/chatgpt/constraintBased_Gp/cveCONSTR_5.rs,chatgpt,constraintBased,yes,yes,yes,,,,
Samples/chatgpt/constraintBased_Gp/cveCONSTR_6.rs,chatgpt,constraintBased,yes,yes,yes,,,,
Samples/chatgpt/constraintBased_Gp/cveCONSTR_7.rs,chatgpt,constraintBased,yes,yes,yes,,,,
Samples/chatgpt/constraintBased_Gp/cveCONSTR_8.rs,chatgpt,constraintBased,yes,yes,no,,,,
Samples/chatgpt/constraintBased_Gp/cveCONSTR_9.rs,chatgpt,constraintBased,yes,yes,yes,,,,
Samples/chatgpt/zeroShot_Gp/cveZERO_1.rs,chatgpt,zeroShot,no,no,no,,,,
Samples/chatgpt/zeroShot_Gp/cveZERO_10.rs,chatgpt,zeroShot,no,no,no,,,,
Samples/chatgpt/zeroShot_Gp/cveZERO_2.rs,chatgpt,zeroShot,yes,yes,yes,,,,
Samples/chatgpt/zeroShot_Gp/cveZERO_3.rs,chatgpt,zeroShot,no,yes,no,,,,
Samples/chatgpt/zeroShot_Gp/cveZERO_4.rs,chatgpt,zeroShot,yes,yes,yes,,,,
Samples/chatgpt/zeroShot_Gp/cveZERO_5.rs,chatgpt,zeroShot,yes,yes,yes,,,,
Samples/chatgpt/zeroShot_Gp/cveZERO_6.rs,chatgpt,zeroShot,yes,yes,no,,,,
Samples/chatgpt/zeroShot_Gp/cveZERO_7.rs,chatgpt,zeroShot,yes,yes,yes,,,,
